entity,cost_centre,account_code,period_month,budget_amount,currency
MI-CA,OPS-CA,6110,2024-01,166771.93,USD
MI-CA,OPS-CA,6110,2024-02,173708.95,USD
MI-CA,OPS-CA,6110,2024-03,180194.11,USD
MI-CA,OPS-CA,6110,2024-04,187239.96,USD
MI-CA,OPS-CA,6110,2024-05,183055.37,USD
MI-CA,OPS-CA,6110,2024-06,173801.69,USD
MI-CA,OPS-CA,6110,2024-07,166422.34,USD
MI-CA,OPS-CA,6110,2024-08,158454.66,USD
MI-CA,OPS-CA,6110,2024-09,150354.26,USD
MI-CA,OPS-CA,6110,2024-10,149267.54,USD
MI-CA,OPS-CA,6110,2024-11,149363.18,USD
MI-CA,OPS-CA,6110,2024-12,159178.44,USD
MI-CA,OPS-CA,6120,2024-01,36915.19,USD
MI-CA,OPS-CA,6120,2024-02,39741.72,USD
MI-CA,OPS-CA,6120,2024-03,40666.19,USD
MI-CA,OPS-CA,6120,2024-04,40895.45,USD
MI-CA,OPS-CA,6120,2024-05,41030.9,USD
MI-CA,OPS-CA,6120,2024-06,39254.07,USD
MI-CA,OPS-CA,6120,2024-07,36608.93,USD
MI-CA,OPS-CA,6120,2024-08,36479.52,USD
MI-CA,OPS-CA,6120,2024-09,33987.41,USD
MI-CA,OPS-CA,6120,2024-10,34033.05,USD
MI-CA,OPS-CA,6120,2024-11,33814.22,USD
MI-CA,OPS-CA,6120,2024-12,35253.54,USD
MI-CA,OPS-CA,6130,2024-01,20651.26,USD
MI-CA,OPS-CA,6130,2024-02,21697.63,USD
MI-CA,OPS-CA,6130,2024-03,23041.46,USD
MI-CA,OPS-CA,6130,2024-04,22548.4,USD
MI-CA,OPS-CA,6130,2024-05,23076.44,USD
MI-CA,OPS-CA,6130,2024-06,21594.79,USD
MI-CA,OPS-CA,6130,2024-07,20653.51,USD
MI-CA,OPS-CA,6130,2024-08,19683.85,USD
MI-CA,OPS-CA,6130,2024-09,18764.56,USD
MI-CA,OPS-CA,6130,2024-10,18685.6,USD
MI-CA,OPS-CA,6130,2024-11,18852.28,USD
MI-CA,OPS-CA,6130,2024-12,19583.91,USD
MI-CA,OPS-CA,6210,2024-01,4548.81,USD
MI-CA,OPS-CA,6210,2024-02,4717.68,USD
MI-CA,OPS-CA,6210,2024-03,4922.28,USD
MI-CA,OPS-CA,6210,2024-04,4973.67,USD
MI-CA,OPS-CA,6210,2024-05,4990.26,USD
MI-CA,OPS-CA,6210,2024-06,4734.82,USD
MI-CA,OPS-CA,6210,2024-07,4583.35,USD
MI-CA,OPS-CA,6210,2024-08,4287.72,USD
MI-CA,OPS-CA,6210,2024-09,4064.56,USD
MI-CA,OPS-CA,6210,2024-10,4108.25,USD
MI-CA,OPS-CA,6210,2024-11,4189.77,USD
MI-CA,OPS-CA,6210,2024-12,4300.96,USD
MI-CA,OPS-CA,6220,2024-01,1722.1,USD
MI-CA,OPS-CA,6220,2024-02,1834.94,USD
MI-CA,OPS-CA,6220,2024-03,1884.12,USD
MI-CA,OPS-CA,6220,2024-04,1918.67,USD
MI-CA,OPS-CA,6220,2024-05,1886.94,USD
MI-CA,OPS-CA,6220,2024-06,1862.59,USD
MI-CA,OPS-CA,6220,2024-07,1748.33,USD
MI-CA,OPS-CA,6220,2024-08,1691.82,USD
MI-CA,OPS-CA,6220,2024-09,1618.84,USD
MI-CA,OPS-CA,6220,2024-10,1570.98,USD
MI-CA,OPS-CA,6220,2024-11,1591.95,USD
MI-CA,OPS-CA,6220,2024-12,1656.92,USD
MI-CA,OPS-CA,6230,2024-01,3437.95,USD
MI-CA,OPS-CA,6230,2024-02,3542.47,USD
MI-CA,OPS-CA,6230,2024-03,3722.78,USD
MI-CA,OPS-CA,6230,2024-04,3766.59,USD
MI-CA,OPS-CA,6230,2024-05,3728.83,USD
MI-CA,OPS-CA,6230,2024-06,3632.8,USD
MI-CA,OPS-CA,6230,2024-07,3440.11,USD
MI-CA,OPS-CA,6230,2024-08,3275.6,USD
MI-CA,OPS-CA,6230,2024-09,3110.21,USD
MI-CA,OPS-CA,6230,2024-10,3046.41,USD
MI-CA,OPS-CA,6230,2024-11,3031.1,USD
MI-CA,OPS-CA,6230,2024-12,3192.17,USD
MI-CA,OPS-CA,6240,2024-01,804.34,USD
