period_month,currency,rate_to_usd
2023-01,USD,1.0
2023-01,CAD,0.73365
2023-01,EUR,1.10152
2023-02,USD,1.0
2023-02,CAD,0.7465
2023-02,EUR,1.10329
2023-03,USD,1.0
2023-03,CAD,0.74881
2023-03,EUR,1.11078
2023-04,USD,1.0
2023-04,CAD,0.75207
2023-04,EUR,1.11291
2023-05,USD,1.0
2023-05,CAD,0.73207
2023-05,EUR,1.12306
2023-06,USD,1.0
2023-06,CAD,0.73949
2023-06,EUR,1.1037
2023-07,USD,1.0
2023-07,CAD,0.73126
2023-07,EUR,1.1044
2023-08,USD,1.0
2023-08,CAD,0.73671
2023-08,EUR,1.12673
2023-09,USD,1.0
2023-09,CAD,0.73323
2023-09,EUR,1.13501
2023-10,USD,1.0
2023-10,CAD,0.73749
2023-10,EUR,1.13967
2023-11,USD,1.0
2023-11,CAD,0.7349
2023-11,EUR,1.14348
2023-12,USD,1.0
2023-12,CAD,0.73198
2023-12,EUR,1.16429
2024-01,USD,1.0
2024-01,CAD,0.72187
2024-01,EUR,1.16105
2024-02,USD,1.0
2024-02,CAD,0.70297
2024-02,EUR,1.16337
2024-03,USD,1.0
2024-03,CAD,0.71209
2024-03,EUR,1.17101
2024-04,USD,1.0
2024-04,CAD,0.71053
2024-04,EUR,1.17863
2024-05,USD,1.0
2024-05,CAD,0.71588
2024-05,EUR,1.19454
2024-06,USD,1.0
2024-06,CAD,0.71441
2024-06,EUR,1.19998
2024-07,USD,1.0
2024-07,CAD,0.70893
2024-07,EUR,1.19903
2024-08,USD,1.0
2024-08,CAD,0.70711
2024-08,EUR,1.17719
2024-09,USD,1.0
2024-09,CAD,0.69857
2024-10,USD,1.0
2024-10,CAD,0.70841
2024-10,EUR,1.15593
2024-11,USD,1.0
2024-11,CAD,0.72644
2024-11,EUR,1.14859
2024-12,USD,1.0
2024-12,CAD,0.71546
2024-12,EUR,1.15489
