txn_id,posting_date,accrual_date,entity,cost_centre,account_code,amount,currency,vendor_id,doc_ref,approval_ref,memo
T000029,2023-01-01,2023-01-01,MI-US,OPS-NA,6320,6488.15,USD,V1033,INV-2023-000029,,utilities - 2023-01
T003653,2023-01-01,2023-01-01,MI-US,MKT-US,6720,14022.85,USD,V1014,INV-2023-003653,,trade show stand
T007256,2023-01-01,2023-01-01,MI-NL,OPS-EU,6130,4065.05,EUR,V1010,INV-2023-007256,,temporary operations cover
T009656,2023-01-01,2023-01-01,MI-NL,SGA-EU,6130,4330.89,EUR,V1012,INV-2023-009656,,temporary operations cover
T000001,2023-01-02,2023-01-01,MI-US,OPS-NA,6210,904.14,USD,V1002,INV-2023-000001,,"airfare Amsterdam, economy"
T000055,2023-01-02,2023-01-02,MI-US,OPS-NA,6830,1429.34,USD,V1037,INV-2023-000055,,office supplies
T004705,2023-01-02,2023-01-01,MI-CA,OPS-CA,6230,223.79,CAD,V1002,INV-2023-004705,,team meals Utrecht
T004709,2023-01-02,2023-01-01,MI-CA,OPS-CA,6110,76847.47,CAD,,INV-2023-004709,,semi-monthly payroll run
T004719,2023-01-02,2023-01-01,MI-CA,OPS-CA,6320,13648.07,CAD,V1033,INV-2023-004719,,utilities - 2023-01
T004736,2023-01-02,2023-01-02,MI-CA,OPS-CA,6620,36450.78,CAD,V1021,INV-2023-004736,,outbound freight - 2023-01
T005949,2023-01-02,2023-01-01,MI-CA,SGA-CA,6220,478.84,CAD,V1002,INV-2023-005949,,"hotel - 2 nights, London"
T007229,2023-01-02,2023-01-02,MI-NL,OPS-EU,6210,748.12,EUR,V1002,INV-2023-007229,,"airfare Cleveland, economy"
T000022,2023-01-03,2023-01-03,MI-US,OPS-NA,6120,36675.89,USD,,INV-2023-000022,,employer contributions - period 2023-01
T001249,2023-01-03,2023-01-02,MI-US,ENG-US,6230,791.91,USD,V1002,INV-2023-001249,,client entertainment Winnipeg
T001263,2023-01-03,2023-01-01,MI-US,ENG-US,6130,4626.46,USD,V1010,INV-2023-001263,,contract engineer - 2023-01
T001277,2023-01-03,2023-01-01,MI-US,ENG-US,6510,4435.14,USD,V1007,INV-2023-001277,,subscription renewal
T002374,2023-01-03,2023-01-01,MI-US,SGA-US,6230,1621.29,USD,V1037,INV-2023-002374,AP-2023-9686,client entertainment San Francisco
T002376,2023-01-03,2023-01-02,MI-US,SGA-US,6240,192.55,USD,V1008,INV-2023-002376,,ground transport Milwaukee
T002377,2023-01-03,2023-01-01,MI-US,SGA-US,6240,337.57,USD,V1008,INV-2023-002377,,ground transport Utrecht
T002407,2023-01-03,2023-01-02,MI-US,SGA-US,6830,4799.68,USD,V1034,INV-2023-002407,,sundry expenses - 2023-01
T004699,2023-01-03,2023-01-03,MI-CA,OPS-CA,6210,1313.16,CAD,V1002,INV-2023-004699,AP-2023-6246,"airfare Winnipeg, economy"
T007289,2023-01-03,2023-01-01,MI-NL,OPS-EU,6830,1253.63,EUR,V1037,INV-2023-007289,,sundry expenses - 2023-01
T009647,2023-01-03,2023-01-03,MI-NL,SGA-EU,6230,1958.67,EUR,V1002,INV-2023-009647,AP-2023-2149,client entertainment Leuven
T000003,2023-01-04,2023-01-03,MI-US,OPS-NA,6210,956.57,USD,V1002,INV-2023-000003,,"airfare Hartford, economy"
T000016,2023-01-04,2023-01-03,MI-US,OPS-NA,6240,76.26,USD,V1008,INV-2023-000016,,ground transport Winnipeg
T000023,2023-01-04,2023-01-03,MI-US,OPS-NA,6130,9846.78,USD,V1010,INV-2023-000023,,contract engineer - 2023-01
T000025,2023-01-04,2023-01-04,MI-US,OPS-NA,6130,15569.56,USD,V1012,INV-2023-000025,,temporary operations cover
T001244,2023-01-04,2023-01-03,MI-US,ENG-US,6230,289.98,USD,V1037,INV-2023-001244,,team meals Winnipeg
T001265,2023-01-04,2023-01-02,MI-US,ENG-US,6130,8563.44,USD,V1006,INV-2023-001265,,temporary operations cover
T002380,2023-01-04,2023-01-04,MI-US,SGA-US,6110,1716.91,USD,,INV-2023-002380,,payroll run - period 2023-01
T002390,2023-01-04,2023-01-02,MI-US,SGA-US,6330,1509.25,USD,V1035,INV-2023-002390,,planned maintenance
T003619,2023-01-04,2023-01-02,MI-US,MKT-US,6220,711.74,USD,V1025,INV-2023-003619,,"hotel - 5 nights, Calgary"
T004708,2023-01-04,2023-01-01,MI-CA,OPS-CA,6240,67.29,CAD,V1008,INV-2023-004708,,ground transport Rotterdam
T004739,2023-01-04,2023-01-03,MI-CA,OPS-CA,6620,17953.37,CAD,V1021,INV-2023-004739,,outbound freight - 2023-01
T005941,2023-01-04,2023-01-01,MI-CA,SGA-CA,6210,924.42,CAD,V1036,INV-2023-005941,,"airfare San Francisco, economy"
T005950,2023-01-04,2023-01-04,MI-CA,SGA-CA,6220,1306.94,CAD,V1002,INV-2023-005950,AP-2023-2126,"hotel - 4 nights, Amsterdam"
T005952,2023-01-04,2023-01-02,MI-CA,SGA-CA,6230,275.44,CAD,V1002,INV-2023-005952,,team meals Rotterdam
T007237,2023-01-04,2023-01-01,MI-NL,OPS-EU,6220,441.33,EUR,V1025,INV-2023-007237,,"hotel - 2 nights, New York"
T007250,2023-01-04,2023-01-03,MI-NL,OPS-EU,6240,272.42,EUR,V1036,INV-2023-007250,,ground transport Calgary
T008539,2023-01-04,2023-01-03,MI-NL,ENG-EU,6130,8001.59,EUR,V1012,INV-2023-008539,,temporary operations cover
T009630,2023-01-04,2023-01-03,MI-NL,SGA-EU,6210,829.7,EUR,V1036,INV-2023-009630,,"airfare London, economy"
T009662,2023-01-04,2023-01-01,MI-NL,SGA-EU,6410,5108.86,EUR,V1005,INV-2023-009662,,audit fees - interim
T000018,2023-01-05,2023-01-04,MI-US,OPS-NA,6240,126.49,USD,V1036,INV-2023-000018,,ground transport Leuven
T000035,2023-01-05,2023-01-04,MI-US,OPS-NA,6430,1250.95,USD,V1029,INV-2023-000035,,systems advisory
T000046,2023-01-05,2023-01-03,MI-US,OPS-NA,6620,10656.63,USD,V1023,INV-2023-000046,,customer delivery
T000053,2023-01-05,2023-01-04,MI-US,OPS-NA,6810,8396.02,USD,V1016,INV-2023-000053,,insurance premium instalment
